"","phenocode","filename","aws_link"
"1","C02","icd10-C02-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C02-both_sexes.tsv.bgz"
"2","C09","icd10-C09-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C09-both_sexes.tsv.bgz"
"3","C15","icd10-C15-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C15-both_sexes.tsv.bgz"
"4","C16","icd10-C16-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C16-both_sexes.tsv.bgz"
"5","C17","icd10-C17-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C17-both_sexes.tsv.bgz"
"6","C18","icd10-C18-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C18-both_sexes.tsv.bgz"
"7","C21","icd10-C21-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C21-both_sexes.tsv.bgz"
"8","C22","icd10-C22-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C22-both_sexes.tsv.bgz"
"9","C24","icd10-C24-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C24-both_sexes.tsv.bgz"
"10","C25","icd10-C25-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C25-both_sexes.tsv.bgz"
"11","C26","icd10-C26-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C26-both_sexes.tsv.bgz"
"12","C32","icd10-C32-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C32-both_sexes.tsv.bgz"
"13","C34","icd10-C34-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C34-both_sexes.tsv.bgz"
"14","C41","icd10-C41-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C41-both_sexes.tsv.bgz"
"15","C43","icd10-C43-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C43-both_sexes.tsv.bgz"
"16","C44","icd10-C44-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C44-both_sexes.tsv.bgz"
"17","C45","icd10-C45-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C45-both_sexes.tsv.bgz"
"18","C48","icd10-C48-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C48-both_sexes.tsv.bgz"
"19","C49","icd10-C49-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C49-both_sexes.tsv.bgz"
"20","C50","icd10-C50-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C50-both_sexes.tsv.bgz"
"21","C51","icd10-C51-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C51-both_sexes.tsv.bgz"
"22","C53","icd10-C53-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C53-both_sexes.tsv.bgz"
"23","C54","icd10-C54-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C54-both_sexes.tsv.bgz"
"24","C57","icd10-C57-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C57-both_sexes.tsv.bgz"
"25","C62","icd10-C62-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C62-both_sexes.tsv.bgz"
"26","C67","icd10-C67-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C67-both_sexes.tsv.bgz"
"27","C69","icd10-C69-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C69-both_sexes.tsv.bgz"
"28","C71","icd10-C71-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C71-both_sexes.tsv.bgz"
"29","C76","icd10-C76-both_sexes.tsv.bgz","https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C76-both_sexes.tsv.bgz"
